Nr,Tag,Datum,Dauer_min,kcal,kcal_min,Watt,Max_HF,Woche
1,Mo,25.5,36,330,9.17,160,120,1
2,Mi,27.5,30,270,9.0,157,118,1
3,Do,28.5,50,400,8.0,140,117,1
4,Fr,29.5,30,270,9.0,157,118,1
5,Sa,30.5,30,305,10.17,178,120,1
6,Mo,1.6,53,500,9.43,164,120,2
7,Di,2.6,42,350,8.33,145,115,2
8,Do,4.6,40,350,8.75,153,117,2
9,Fr,5.6,42,355,8.45,148,123,2
10,Fr,5.6,8,50,6.25,108,,2
11,Sa,6.6,32,300,9.38,164,117,2
12,Sa,6.6,12,100,8.33,145,,2
13,So,7.6,30,280,9.33,162,115,2
14,So,7.6,30,270,9.0,157,115,2
15,Di,9.6,46,350,7.61,133,107,3
16,Mi,10.6,31,300,9.68,169,120,3
17,Mi,10.6,10,110,11.0,192,118,3
18,Do,11.6,31,300,9.68,169,118,3
19,Do,11.6,10,110,11.0,192,,3
20,Fr,12.6,41,350,8.54,148,115,3
21,Fr,12.6,7,50,7.14,124,,3
22,So,14.6,33,320,9.7,169,117,3
23,So,14.6,20,220,11.0,192,,3
24,Di,16.6,30,260,8.67,152,113,4
25,Di,16.6,30,260,8.67,152,,4
26,Mi,17.6,20,208,10.4,181,115,4
27,Mi,17.6,30,312,10.4,181,114,4
28,Do,18.6,46,400,8.7,152,107,4
29,Fr,19.6,20,174,8.7,152,104,4
30,Fr,19.6,26,226,8.69,152,,4
31,Sa,20.6,32,300,9.38,164,110,4
32,Mo,22.6,30,308,10.27,180,111,5
33,Di,23.6,44,400,9.09,159,116,5
34,Mi,24.6,45,465,10.33,180,108,5
35,Mi,1.7,30,342,11.4,199,120,6
36,Mi,1.7,22,220,10.0,174,120,6
37,Do,2.7,45,422,9.38,164,111,6
38,Do,2.7,18,154,8.56,150,106,6
39,Fr,3.7,40,412,10.3,180,117,6
40,Fr,3.7,10,130,13.0,227,116,6
41,Sa,4.7,45,426,9.47,166,110,6
42,Di,7.7,36,412,11.44,199,112,7
43,Di,7.7,11,110,10.0,174,106,7
44,Mi,8.7,40,400,10.0,174,,7
45,Mi,8.7,22,210,9.55,166,,7
46,Do,9.7,45,430,9.56,167,125,7
47,Do,9.7,15,175,11.67,204,120,7
48,Fr,10.7,40,410,10.25,178,115,7
49,Fr,10.7,20,205,10.25,178,,7
50,Sa,11.7,22,236,10.73,187,116,7
51,Sa,11.7,22,220,10.0,174,114,7
52,Sa,11.7,18,147,8.17,143,,7
53,So,12.7,26,293,11.27,197,128,7
54,Mo,13.7,34,325,9.56,167,120,8
55,Mo,13.7,23,222,9.65,169,116,8
56,Di,14.7,39,370,9.49,166,128,8
57,Di,14.7,19,198,10.42,180,110,8
58,Mi,15.7,31,337,10.87,189,119,8
59,Mi,15.7,30,289,9.63,170,113,8
60,Do,16.7,33,342,10.36,181,116,8
61,Do,16.7,21,247,11.76,201,116,8
62,Sa,18.7,29,318,10.97,193,116,8
63,Sa,18.7,21,251,11.95,206,119,8
64,So,19.7,40,416,10.4,183,111,8
65,Mo,20.7,40,415,10.38,182,112,9
66,Di,21.7,38,445,11.71,204,116,9
67,Di,21.7,19,244,12.84,222,122,9
68,Mi,22.7,38,449,11.82,206,116,9
69,Mi,22.7,30,288,9.6,169,110,9
70,Do,23.7,38,442,11.63,202,118,9
71,Fr,24.7,73,649,8.89,155,106,9
72,Sa,25.7,51,532,10.43,180,110,9
73,So,26.7,53,497,9.38,165,107,9
74,Di,28.7,21,254,12.1,210,116,10
75,Mi,29.7,32,360,11.25,196,116,10
76,Mi,29.7,27,252,9.33,161,104,10
77,Do,30.7,29,318,10.97,193,110,10
78,Do,30.7,21,218,10.38,185,116,10
79,Fr,31.7,34,352,10.35,180,111,10
80,Sa,1.8,39,416,10.67,186,110,10
81,Sa,1.8,30,289,9.63,169,110,10
82,So,2.8,22,236,10.73,186,108,10
83,So,2.8,26,245,9.42,161,108,10
84,Mo,3.8,28,323,11.54,198,115,11
85,Mo,3.8,26,294,11.31,195,115,11
86,Mo,3.8,20,224,11.2,196,120,11
87,Di,4.8,32,361,11.28,197,116,11
88,Mi,5.8,39,424,10.87,192,113,11
89,Do,6.8,40,414,10.35,178,110,11
90,Fr,7.8,38,436,11.47,197,120,11
91,So,9.8,32,367,11.47,203,122,11
92,So,9.8,12,126,10.5,176,110,11
93,Mo,10.8,34,350,10.29,178,108,12
94,Di,11.8,41,398,9.71,169,122,12
95,Do,13.8,28,323,11.54,197,119,12
96,Do,13.8,27,287,10.63,188,120,12
97,Fr,14.8,38,427,11.24,195,118,12
98,Sa,15.8,53,518,9.77,171,114,12
99,So,16.8,28,321,11.46,196,114,12
100,Mo,17.8,31,384,12.39,218,117,13
