Datum,Nr,Dauer_sek,Kcal,Watt,MaxHF,Rec,RR_ruhe,RR_training,RR_abend,Kinomap,Strecke,Distanz_km,Kadenz_rpm,Watt_Max,Watt_Max_PR,Hoehenmeter,Temperatur_C,Max_kmh,Kommentar
25.5,1,2160,330,160,120,,,,,,,,,,,,,,
27.5,2,1800,270,157,118,,,,,,,,,,,,,,
28.5,3,3000,400,140,117,,,,,,,,,,,,,,
29.5,4,1800,270,157,118,,,,,,,,,,,,,,
30.5,5,1800,305,178,120,1,,,,,,,,,,,,,
1.6,6,3180,500,164,120,,,,,,,,,,,,,,
2.6,7,2520,350,145,115,,,,,,,,,,,,,,
4.6,8,2400,350,153,117,,,,,,,,,,,,,,
5.6,9,2520,355,148,123,,,,,,,,,,,,,,
5.6,9b,480,50,108,,,,,,,,,,,,,,,
6.6,10,1920,300,164,117,,,,,,,,,,,,,,
6.6,10b,720,100,145,,,,,,,,,,,,,,,
7.6,11,1800,280,162,115,,,,,,,,,,,,,,
7.6,11b,1800,270,157,115,,,,,,,,,,,,,,
9.6,12,2760,350,133,107,,,,,,,,,,,,,,
10.6,13,1860,300,169,120,,,,,,,,,,,,,,
10.6,13b,600,110,192,118,1,,,,,,,,,,,,,
11.6,14,1860,300,169,118,,,,,,,,,,,,,,
11.6,14b,600,110,192,,1,,,,,,,,,,,,,
12.6,15,2460,350,148,115,,,,,,,,,,,,,,
12.6,15b,420,50,124,,,,,,,,,,,,,,,
14.6,16,1980,320,169,117,,,,,,,,,,,,,,
14.6,16b,1200,220,192,,1,,,,,,,,,,,,,
16.6,17,1800,260,152,113,,,,,,,,,,,,,,
16.6,17b,1800,260,152,,,,,,,,,,,,,,,
17.6,18,1200,208,181,115,1,,,,,,,,,,,,,
17.6,18b,1800,312,181,114,1,,,,,,,,,,,,,
18.6,19,2760,400,152,107,,,,,,,,,,,,,,
19.6,20,1200,174,152,104,,,,,,,,,,,,,,
19.6,20b,1560,226,152,,,,,,,,,,,,,,,
20.6,21,1920,300,164,110,,,,,,,,,,,,,,Erholung 🌿
22.6,22,1800,308,180,111,1,,115/65/87,,,,,,,,,,,
23.6,23,2640,400,159,116,,,110/70/84,,,,,,,,,,,
24.6,24,2700,465,180,108,1,,,,,,,,,,,,,
1.7,25,1800,342,199,120,1,135/88/77,110/75/93,,,,,,,,,,,Pyramide 9-12-9
